gfx		start(y,x)	size(y,x)
Charizard	0,0		148,112
Pokemontrainer	0,112		148,112
Dragon		0,224		148,112
Aggron		0,336		148,112
Woman		0,448		148,112
Greenguy	0,560		148,112
Brownguy	0,672		148,112
Crosshair	0,784		50,50
Health		0,834		60,122
Inventory	0,956		120,410
End		0,1366		128,128
Spawn		0,1494		128,128
Goldore		0,1623		128,128
HandleGL	0,1752		128,128
HandleGR	0,1881		128,128
HandleRL	0,2010		128,128
HandleRR	0,2139		128,128
Keycard		0,2268		140,200
Money		0,2469		103,200


GunAnimation	148,0		160,2880


MainMenu	308,0		720,1080
Sky		308,1080	360,1080
Icon		308,2160	160,160
Pistol		309,2321	272,380
Plant		309,2702	292,150

Chest		668,1080	198,1180
Alpha		867,1081	27,997
